tab 	locations																																
age_unit	analysts	citations	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	age_high	age_low																					
Ma		This study	Extrusive	47.7	47.7	basalt	Michipicoten Island		274.2	274.2	1085	1083																					
>>>>>>>>>>																																	
tab 	samples																																
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site																				
	119.3	0	17.8	182	This study	-10			44.1		SO-CMD-NORTH	SS20-1	SS20																				
	63.3	0	17.8	182	This study	-8			44.1		SO-CMD-NORTH	SS20-2	SS20																				
	335.3	0	17.8	182	This study	-21			44.1		SO-CMD-NORTH	SS20-3	SS20																				
	50.3	0	17.8	182	This study	-12			44.1		SO-CMD-NORTH	SS20-4	SS20																				
	199.3	0	17.8	182	This study	-39			44.1		SO-CMD-NORTH	SS20-5	SS20																				
	202.3	0	17.8	182	This study	-46			44.1		SO-CMD-NORTH	SS20-6	SS20																				
	270.3	0	17.8	182	This study	-16			44.1		SO-CMD-NORTH	SS20-7	SS20																				
	284.3	0	17.8	182	This study	-16			44.1		SO-CMD-NORTH	SS20-8	SS20																				
>>>>>>>>>>																																	
tab 	specimens																																
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	volume	weight										
	This study																LP-NOMAG		SS20-1		SS20-1a												
	This study		ht	4.2	301.4	27.6	5.7	1	1	100	SS20-1a_LP-DIR-T	hargrave 2016-04-05 19:57:15	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-1	pmagpy-4.2.109: demag_gui	SS20-1a												
	This study		ht	4.2	188.1	8.1	5.7	1	1	-1	SS20-1a_LP-DIR-T	hargrave 2016-04-05 19:57:15	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-1	pmagpy-4.2.109: demag_gui	SS20-1a												
	This study		ht	4.2	307.8	18	5.7	1	1	0	SS20-1a_LP-DIR-T	hargrave 2016-04-05 19:57:15	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-1	pmagpy-4.2.109: demag_gui	SS20-1a												
	This study																LP-NOMAG		SS20-2		SS20-2a												
	This study		ht	2.6	308.9	26.7	3.7	1	1	100	SS20-2a_LP-DIR-T	hargrave 2016-04-05 19:58:52	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-2	pmagpy-4.2.109: demag_gui	SS20-2a												
